timestamp;date;hour;requests;dominant_event;rare_events_count;rare_events_ratio_pct;anomaly_score;is_unusual_access;risk_level;reason
2017-02-01 00:00:00;2017-02-01;0;7537;DescribeSnapshots;7;0.09;0.1395;False;baixo;acesso_fora_do_horario|evento_raro
2017-03-01 00:00:00;2017-03-01;0;9650;DescribeSnapshots;4;0.04;0.1084;False;baixo;acesso_fora_do_horario|evento_raro
2017-04-01 00:00:00;2017-04-01;0;1941;AssumeRole;0;0.0;0.2378;False;baixo;acesso_fora_do_horario
2017-05-01 00:00:00;2017-05-01;0;28649;AssumeRole;4;0.01;0.031;True;baixo;acesso_fora_do_horario|evento_raro
2017-06-01 00:00:00;2017-06-01;0;4107;AssumeRole;1;0.02;0.2043;False;baixo;acesso_fora_do_horario|evento_raro
2017-07-01 00:00:00;2017-07-01;0;4438;AssumeRole;1;0.02;0.2027;False;baixo;acesso_fora_do_horario|evento_raro
2017-08-01 00:00:00;2017-08-01;0;4077;AssumeRole;1;0.02;0.2044;False;baixo;acesso_fora_do_horario|evento_raro
2017-09-01 00:00:00;2017-09-01;0;2785;AssumeRole;1;0.04;0.2106;False;baixo;acesso_fora_do_horario|evento_raro
2017-10-01 00:00:00;2017-10-01;0;9481;DescribeSpotPriceHistory;0;0.0;0.2017;False;baixo;acesso_fora_do_horario
2017-11-01 00:00:00;2017-11-01;0;4294;DescribeSpotPriceHistory;0;0.0;0.2266;False;baixo;acesso_fora_do_horario
2017-12-01 00:00:00;2017-12-01;0;2422;AssumeRole;0;0.0;0.2356;False;baixo;acesso_fora_do_horario
2018-01-01 00:00:00;2018-01-01;0;4695;DescribeSnapshots;1;0.02;0.2015;False;baixo;acesso_fora_do_horario|evento_raro
2018-02-01 00:00:00;2018-02-01;0;6420;AssumeRole;0;0.0;0.2164;False;baixo;acesso_fora_do_horario
2018-03-01 00:00:00;2018-03-01;0;2432;AssumeRole;0;0.0;0.2355;False;baixo;acesso_fora_do_horario
2018-04-01 00:00:00;2018-04-01;0;18609;RunInstances;0;0.0;0.1581;True;baixo;acesso_fora_do_horario
2018-05-01 00:00:00;2018-05-01;0;2626;AssumeRole;2;0.08;0.1882;False;baixo;acesso_fora_do_horario|evento_raro
2018-06-01 00:00:00;2018-06-01;0;4168;DescribeSnapshots;1;0.02;0.204;False;baixo;acesso_fora_do_horario|evento_raro
2018-07-01 00:00:00;2018-07-01;0;16551;GetBucketAcl;1;0.01;0.1448;True;baixo;acesso_fora_do_horario|evento_raro
2018-08-01 00:00:00;2018-08-01;0;10693;DescribeSnapshots;2;0.02;0.1496;True;baixo;acesso_fora_do_horario|evento_raro
2018-09-01 00:00:00;2018-09-01;0;7379;AssumeRole;0;0.0;0.2118;False;baixo;acesso_fora_do_horario
2018-10-01 00:00:00;2018-10-01;0;28806;AssumeRole;0;0.0;0.1243;True;baixo;acesso_fora_do_horario
2018-11-01 00:00:00;2018-11-01;0;4824;DescribeSnapshots;3;0.06;0.1546;False;baixo;acesso_fora_do_horario|evento_raro
2018-12-01 00:00:00;2018-12-01;0;10930;AssumeRole;1;0.01;0.1716;True;baixo;acesso_fora_do_horario|evento_raro
